,Year,Location,Number of Households,Tenure,Housing Characteristics
2044,2021,"Kitchener-Cambridge-Waterloo, Ontario",2000,Repeat homebuyer,Two-or-more-person non-family household
2045,2022,"Kitchener-Cambridge-Waterloo, Ontario",2000,Repeat homebuyer,Two-or-more-person non-family household
2050,2021,"Kitchener-Cambridge-Waterloo, Ontario",300,Repeat homebuyer,15 to 24 years
2051,2022,"Kitchener-Cambridge-Waterloo, Ontario",800,Repeat homebuyer,15 to 24 years
2053,2021,"Kitchener-Cambridge-Waterloo, Ontario",10300,Repeat homebuyer,25 to 34 years
2054,2022,"Kitchener-Cambridge-Waterloo, Ontario",6500,Repeat homebuyer,25 to 34 years
2056,2021,"Kitchener-Cambridge-Waterloo, Ontario",26300,Repeat homebuyer,35 to 44 years
2057,2022,"Kitchener-Cambridge-Waterloo, Ontario",21600,Repeat homebuyer,35 to 44 years
2059,2021,"Kitchener-Cambridge-Waterloo, Ontario",29000,Repeat homebuyer,45 to 54 years
2060,2022,"Kitchener-Cambridge-Waterloo, Ontario",26500,Repeat homebuyer,45 to 54 years
2062,2021,"Kitchener-Cambridge-Waterloo, Ontario",33100,Repeat homebuyer,55 to 64 years
2063,2022,"Kitchener-Cambridge-Waterloo, Ontario",31200,Repeat homebuyer,55 to 64 years
2065,2021,"Kitchener-Cambridge-Waterloo, Ontario",22100,Repeat homebuyer,65 to 74 years
2066,2022,"Kitchener-Cambridge-Waterloo, Ontario",23100,Repeat homebuyer,65 to 74 years
2068,2021,"Kitchener-Cambridge-Waterloo, Ontario",12400,Repeat homebuyer,75 years and older
2069,2022,"Kitchener-Cambridge-Waterloo, Ontario",11600,Repeat homebuyer,75 years and older
2074,2021,"Kitchener-Cambridge-Waterloo, Ontario",82500,Repeat homebuyer,Employed
2075,2022,"Kitchener-Cambridge-Waterloo, Ontario",80200,Repeat homebuyer,Employed
2077,2021,"Kitchener-Cambridge-Waterloo, Ontario",51000,Repeat homebuyer,Not employed
2078,2022,"Kitchener-Cambridge-Waterloo, Ontario",40100,Repeat homebuyer,Not employed
2083,2021,"Kitchener-Cambridge-Waterloo, Ontario",13800,Repeat homebuyer,Belongs to a visible minority group
2084,2022,"Kitchener-Cambridge-Waterloo, Ontario",22300,Repeat homebuyer,Belongs to a visible minority group
2086,2021,"Kitchener-Cambridge-Waterloo, Ontario",119400,Repeat homebuyer,Does not belong to a visible minority group
2087,2022,"Kitchener-Cambridge-Waterloo, Ontario",98100,Repeat homebuyer,Does not belong to a visible minority group
2092,2021,"Kitchener-Cambridge-Waterloo, Ontario",4500,Repeat homebuyer,Very difficult to meet financial needs
2093,2022,"Kitchener-Cambridge-Waterloo, Ontario",7000,Repeat homebuyer,Very difficult to meet financial needs
2095,2021,"Kitchener-Cambridge-Waterloo, Ontario",14900,Repeat homebuyer,Difficult to meet financial needs
2096,2022,"Kitchener-Cambridge-Waterloo, Ontario",24000,Repeat homebuyer,Difficult to meet financial needs
2098,2021,"Kitchener-Cambridge-Waterloo, Ontario",60200,Repeat homebuyer,Neither difficult nor easy to meet financial needs
2099,2022,"Kitchener-Cambridge-Waterloo, Ontario",54100,Repeat homebuyer,Neither difficult nor easy to meet financial needs
2101,2021,"Kitchener-Cambridge-Waterloo, Ontario",32900,Repeat homebuyer,Easy to meet financial needs
2102,2022,"Kitchener-Cambridge-Waterloo, Ontario",22800,Repeat homebuyer,Easy to meet financial needs
2104,2021,"Kitchener-Cambridge-Waterloo, Ontario",21000,Repeat homebuyer,Very easy to meet financial needs
2105,2022,"Kitchener-Cambridge-Waterloo, Ontario",13200,Repeat homebuyer,Very easy to meet financial needs
2110,2021,"Kitchener-Cambridge-Waterloo, Ontario",11200,Renter,One-family household - couple with children
2111,2022,"Kitchener-Cambridge-Waterloo, Ontario",15000,Renter,One-family household - couple with children
2113,2021,"Kitchener-Cambridge-Waterloo, Ontario",14700,Renter,One-family household - couple without children
2114,2022,"Kitchener-Cambridge-Waterloo, Ontario",18700,Renter,One-family household - couple without children
2116,2021,"Kitchener-Cambridge-Waterloo, Ontario",9600,Renter,One-family household - one-parent family
2117,2022,"Kitchener-Cambridge-Waterloo, Ontario",8300,Renter,One-family household - one-parent family
2119,2021,"Kitchener-Cambridge-Waterloo, Ontario",4000,Renter,Other family household
2120,2022,"Kitchener-Cambridge-Waterloo, Ontario",5800,Renter,Other family household
2122,2021,"Kitchener-Cambridge-Waterloo, Ontario",31500,Renter,One-person household
2123,2022,"Kitchener-Cambridge-Waterloo, Ontario",30000,Renter,One-person household
2125,2021,"Kitchener-Cambridge-Waterloo, Ontario",8400,Renter,Two-or-more-person non-family household
2126,2022,"Kitchener-Cambridge-Waterloo, Ontario",9800,Renter,Two-or-more-person non-family household
2131,2021,"Kitchener-Cambridge-Waterloo, Ontario",6800,Renter,15 to 24 years
2132,2022,"Kitchener-Cambridge-Waterloo, Ontario",6600,Renter,15 to 24 years
2134,2021,"Kitchener-Cambridge-Waterloo, Ontario",20600,Renter,25 to 34 years
2135,2022,"Kitchener-Cambridge-Waterloo, Ontario",22300,Renter,25 to 34 years
2137,2021,"Kitchener-Cambridge-Waterloo, Ontario",14100,Renter,35 to 44 years
2138,2022,"Kitchener-Cambridge-Waterloo, Ontario",16400,Renter,35 to 44 years
2140,2021,"Kitchener-Cambridge-Waterloo, Ontario",11900,Renter,45 to 54 years
2141,2022,"Kitchener-Cambridge-Waterloo, Ontario",12100,Renter,45 to 54 years
2143,2021,"Kitchener-Cambridge-Waterloo, Ontario",9400,Renter,55 to 64 years
2144,2022,"Kitchener-Cambridge-Waterloo, Ontario",11500,Renter,55 to 64 years
2146,2021,"Kitchener-Cambridge-Waterloo, Ontario",9100,Renter,65 to 74 years
2147,2022,"Kitchener-Cambridge-Waterloo, Ontario",9500,Renter,65 to 74 years
2149,2021,"Kitchener-Cambridge-Waterloo, Ontario",7600,Renter,75 years and older
2150,2022,"Kitchener-Cambridge-Waterloo, Ontario",9200,Renter,75 years and older
2155,2021,"Kitchener-Cambridge-Waterloo, Ontario",42400,Renter,Employed
2156,2022,"Kitchener-Cambridge-Waterloo, Ontario",54900,Renter,Employed
2158,2021,"Kitchener-Cambridge-Waterloo, Ontario",36100,Renter,Not employed
2159,2022,"Kitchener-Cambridge-Waterloo, Ontario",31300,Renter,Not employed
2164,2021,"Kitchener-Cambridge-Waterloo, Ontario",20000,Renter,Belongs to a visible minority group
2165,2022,"Kitchener-Cambridge-Waterloo, Ontario",24400,Renter,Belongs to a visible minority group
2167,2021,"Kitchener-Cambridge-Waterloo, Ontario",59000,Renter,Does not belong to a visible minority group
2168,2022,"Kitchener-Cambridge-Waterloo, Ontario",61400,Renter,Does not belong to a visible minority group
2173,2021,"Kitchener-Cambridge-Waterloo, Ontario",4600,Renter,Very difficult to meet financial needs
2174,2022,"Kitchener-Cambridge-Waterloo, Ontario",14200,Renter,Very difficult to meet financial needs
2176,2021,"Kitchener-Cambridge-Waterloo, Ontario",17600,Renter,Difficult to meet financial needs
2177,2022,"Kitchener-Cambridge-Waterloo, Ontario",24600,Renter,Difficult to meet financial needs
2179,2021,"Kitchener-Cambridge-Waterloo, Ontario",33200,Renter,Neither difficult nor easy to meet financial needs
2180,2022,"Kitchener-Cambridge-Waterloo, Ontario",31200,Renter,Neither difficult nor easy to meet financial needs
2182,2021,"Kitchener-Cambridge-Waterloo, Ontario",16200,Renter,Easy to meet financial needs
2183,2022,"Kitchener-Cambridge-Waterloo, Ontario",13600,Renter,Easy to meet financial needs
2185,2021,"Kitchener-Cambridge-Waterloo, Ontario",7800,Renter,Very easy to meet financial needs
2186,2022,"Kitchener-Cambridge-Waterloo, Ontario",4000,Renter,Very easy to meet financial needs
2191,2021,"London, Ontario",7000,First-time homebuyer,One-family household - couple with children
2192,2022,"London, Ontario",7600,First-time homebuyer,One-family household - couple with children
2194,2021,"London, Ontario",5800,First-time homebuyer,One-family household - couple without children
2195,2022,"London, Ontario",4600,First-time homebuyer,One-family household - couple without children
2197,2021,"London, Ontario",800,First-time homebuyer,One-family household - one-parent family
2198,2022,"London, Ontario",300,First-time homebuyer,One-family household - one-parent family
2200,2021,"London, Ontario",0,First-time homebuyer,Other family household
2201,2022,"London, Ontario",0,First-time homebuyer,Other family household
2203,2021,"London, Ontario",3700,First-time homebuyer,One-person household
2204,2022,"London, Ontario",2600,First-time homebuyer,One-person household
2206,2021,"London, Ontario",5000,First-time homebuyer,Two-or-more-person non-family household
2207,2022,"London, Ontario",1800,First-time homebuyer,Two-or-more-person non-family household
2212,2021,"London, Ontario",0,First-time homebuyer,15 to 24 years
2213,2022,"London, Ontario",900,First-time homebuyer,15 to 24 years
2215,2021,"London, Ontario",13700,First-time homebuyer,25 to 34 years
2216,2022,"London, Ontario",8900,First-time homebuyer,25 to 34 years
2218,2021,"London, Ontario",3500,First-time homebuyer,35 to 44 years
2219,2022,"London, Ontario",4600,First-time homebuyer,35 to 44 years
2221,2021,"London, Ontario",2600,First-time homebuyer,45 to 54 years
2222,2022,"London, Ontario",1000,First-time homebuyer,45 to 54 years
2224,2021,"London, Ontario",0,First-time homebuyer,55 to 64 years
2225,2022,"London, Ontario",1400,First-time homebuyer,55 to 64 years
2227,2021,"London, Ontario",2500,First-time homebuyer,65 to 74 years
2228,2022,"London, Ontario",100,First-time homebuyer,65 to 74 years
2230,2021,"London, Ontario",0,First-time homebuyer,75 years and older
2231,2022,"London, Ontario",0,First-time homebuyer,75 years and older
2236,2021,"London, Ontario",19900,First-time homebuyer,Employed
2237,2022,"London, Ontario",14700,First-time homebuyer,Employed
2239,2021,"London, Ontario",2500,First-time homebuyer,Not employed
2240,2022,"London, Ontario",2100,First-time homebuyer,Not employed
2245,2021,"London, Ontario",4800,First-time homebuyer,Belongs to a visible minority group
2246,2022,"London, Ontario",6500,First-time homebuyer,Belongs to a visible minority group
2248,2021,"London, Ontario",17500,First-time homebuyer,Does not belong to a visible minority group
2249,2022,"London, Ontario",10500,First-time homebuyer,Does not belong to a visible minority group
2254,2021,"London, Ontario",2500,First-time homebuyer,Very difficult to meet financial needs
2255,2022,"London, Ontario",1000,First-time homebuyer,Very difficult to meet financial needs
2257,2021,"London, Ontario",300,First-time homebuyer,Difficult to meet financial needs
2258,2022,"London, Ontario",4900,First-time homebuyer,Difficult to meet financial needs
2260,2021,"London, Ontario",8700,First-time homebuyer,Neither difficult nor easy to meet financial needs
2261,2022,"London, Ontario",8600,First-time homebuyer,Neither difficult nor easy to meet financial needs
2263,2021,"London, Ontario",700,First-time homebuyer,Easy to meet financial needs
2264,2022,"London, Ontario",1800,First-time homebuyer,Easy to meet financial needs
2266,2021,"London, Ontario",10100,First-time homebuyer,Very easy to meet financial needs
2267,2022,"London, Ontario",600,First-time homebuyer,Very easy to meet financial needs
2272,2021,"London, Ontario",44300,Repeat homebuyer,One-family household - couple with children
2273,2022,"London, Ontario",40200,Repeat homebuyer,One-family household - couple with children
2275,2021,"London, Ontario",58300,Repeat homebuyer,One-family household - couple without children
2276,2022,"London, Ontario",39600,Repeat homebuyer,One-family household - couple without children
2278,2021,"London, Ontario",7500,Repeat homebuyer,One-family household - one-parent family
2279,2022,"London, Ontario",10400,Repeat homebuyer,One-family household - one-parent family
2281,2021,"London, Ontario",7700,Repeat homebuyer,Other family household
2282,2022,"London, Ontario",6200,Repeat homebuyer,Other family household
2284,2021,"London, Ontario",25500,Repeat homebuyer,One-person household
2285,2022,"London, Ontario",30900,Repeat homebuyer,One-person household
2287,2021,"London, Ontario",2000,Repeat homebuyer,Two-or-more-person non-family household
2288,2022,"London, Ontario",1500,Repeat homebuyer,Two-or-more-person non-family household
2293,2021,"London, Ontario",0,Repeat homebuyer,15 to 24 years
2294,2022,"London, Ontario",0,Repeat homebuyer,15 to 24 years
2296,2021,"London, Ontario",6400,Repeat homebuyer,25 to 34 years
2297,2022,"London, Ontario",4400,Repeat homebuyer,25 to 34 years
2299,2021,"London, Ontario",21700,Repeat homebuyer,35 to 44 years
2300,2022,"London, Ontario",18700,Repeat homebuyer,35 to 44 years
2302,2021,"London, Ontario",35100,Repeat homebuyer,45 to 54 years
2303,2022,"London, Ontario",24800,Repeat homebuyer,45 to 54 years
2305,2021,"London, Ontario",28500,Repeat homebuyer,55 to 64 years
2306,2022,"London, Ontario",28800,Repeat homebuyer,55 to 64 years
2308,2021,"London, Ontario",33500,Repeat homebuyer,65 to 74 years
2309,2022,"London, Ontario",29600,Repeat homebuyer,65 to 74 years
2311,2021,"London, Ontario",19900,Repeat homebuyer,75 years and older
2312,2022,"London, Ontario",22400,Repeat homebuyer,75 years and older
2317,2021,"London, Ontario",96200,Repeat homebuyer,Employed
2318,2022,"London, Ontario",69400,Repeat homebuyer,Employed
2320,2021,"London, Ontario",48900,Repeat homebuyer,Not employed
2321,2022,"London, Ontario",59400,Repeat homebuyer,Not employed
2326,2021,"London, Ontario",29100,Repeat homebuyer,Belongs to a visible minority group
2327,2022,"London, Ontario",13900,Repeat homebuyer,Belongs to a visible minority group
2329,2021,"London, Ontario",116100,Repeat homebuyer,Does not belong to a visible minority group
2330,2022,"London, Ontario",113300,Repeat homebuyer,Does not belong to a visible minority group
2335,2021,"London, Ontario",3900,Repeat homebuyer,Very difficult to meet financial needs
2336,2022,"London, Ontario",6400,Repeat homebuyer,Very difficult to meet financial needs
2338,2021,"London, Ontario",10300,Repeat homebuyer,Difficult to meet financial needs
2339,2022,"London, Ontario",22500,Repeat homebuyer,Difficult to meet financial needs
2341,2021,"London, Ontario",56600,Repeat homebuyer,Neither difficult nor easy to meet financial needs
2342,2022,"London, Ontario",60900,Repeat homebuyer,Neither difficult nor easy to meet financial needs
2344,2021,"London, Ontario",43800,Repeat homebuyer,Easy to meet financial needs
2345,2022,"London, Ontario",27900,Repeat homebuyer,Easy to meet financial needs
2347,2021,"London, Ontario",30500,Repeat homebuyer,Very easy to meet financial needs
2348,2022,"London, Ontario",11100,Repeat homebuyer,Very easy to meet financial needs
2353,2021,"London, Ontario",10200,Renter,One-family household - couple with children
2354,2022,"London, Ontario",14200,Renter,One-family household - couple with children
2356,2021,"London, Ontario",13500,Renter,One-family household - couple without children
2357,2022,"London, Ontario",14600,Renter,One-family household - couple without children
2359,2021,"London, Ontario",11800,Renter,One-family household - one-parent family
2360,2022,"London, Ontario",10300,Renter,One-family household - one-parent family
2362,2021,"London, Ontario",3900,Renter,Other family household
2363,2022,"London, Ontario",4000,Renter,Other family household
2365,2021,"London, Ontario",42500,Renter,One-person household
2366,2022,"London, Ontario",44400,Renter,One-person household
2368,2021,"London, Ontario",3900,Renter,Two-or-more-person non-family household
2369,2022,"London, Ontario",10600,Renter,Two-or-more-person non-family household
2374,2021,"London, Ontario",5300,Renter,15 to 24 years
2375,2022,"London, Ontario",9700,Renter,15 to 24 years
2377,2021,"London, Ontario",20300,Renter,25 to 34 years
2378,2022,"London, Ontario",19900,Renter,25 to 34 years
2380,2021,"London, Ontario",17900,Renter,35 to 44 years
2381,2022,"London, Ontario",20100,Renter,35 to 44 years
2383,2021,"London, Ontario",8500,Renter,45 to 54 years
2384,2022,"London, Ontario",14700,Renter,45 to 54 years
2386,2021,"London, Ontario",15700,Renter,55 to 64 years
2387,2022,"London, Ontario",11600,Renter,55 to 64 years
2389,2021,"London, Ontario",10500,Renter,65 to 74 years
2390,2022,"London, Ontario",13500,Renter,65 to 74 years
2392,2021,"London, Ontario",7600,Renter,75 years and older
2393,2022,"London, Ontario",8600,Renter,75 years and older
2398,2021,"London, Ontario",40000,Renter,Employed
2399,2022,"London, Ontario",56900,Renter,Employed
2401,2021,"London, Ontario",45800,Renter,Not employed
2402,2022,"London, Ontario",40800,Renter,Not employed
2407,2021,"London, Ontario",20600,Renter,Belongs to a visible minority group
